資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20240419,00634R,14,5,4728000,9.50
20240419,00634R,15,7,16163862,32.48
20240419,00634R,16,0,0,0.00
20240419,00634R,17,999,49756000,100.00
20240419,00635U,1,1230,257749,0.90
20240419,00635U,2,2630,5312279,18.63
20240419,00635U,3,345,2817846,9.88
20240419,00635U,4,105,1335974,4.68
20240419,00635U,5,85,1569783,5.50
20240419,00635U,6,62,1617136,5.67
20240419,00635U,7,23,845350,2.96
20240419,00635U,8,15,705791,2.47
20240419,00635U,9,34,2462161,8.63
20240419,00635U,10,16,2364963,8.29
20240419,00635U,11,6,1728000,6.06
20240419,00635U,12,1,428000,1.50
20240419,00635U,13,1,790000,2.77
20240419,00635U,14,1,950000,3.33
20240419,00635U,15,4,5328968,18.68
20240419,00635U,16,0,0,0.00
20240419,00635U,17,4558,28514000,100.00
20240419,00636,1,1488,453475,0.19
20240419,00636,2,6718,16209318,7.13
20240419,00636,3,1958,15741476,6.92
20240419,00636,4,729,9384381,4.12
20240419,00636,5,503,9325981,4.10
20240419,00636,6,488,12586082,5.53
20240419,00636,7,218,7939178,3.49
20240419,00636,8,155,7309912,3.21
20240419,00636,9,275,20078227,8.83
20240419,00636,10,120,16695650,7.34
20240419,00636,11,44,12815096,5.63
20240419,00636,12,16,7813000,3.43
20240419,00636,13,8,5661966,2.49
20240419,00636,14,2,1865000,0.82
20240419,00636,15,15,83446258,36.70
20240419,00636,16,0,0,0.00
20240419,00636,17,12737,227325000,100.00
20240419,00636K,1,3,1500,2.41
20240419,00636K,2,5,8400,13.52
20240419,00636K,3,1,7700,12.39
20240419,00636K,4,0,0,0.00
20240419,00636K,5,0,0,0.00
20240419,00636K,6,0,0,0.00
20240419,00636K,7,0,0,0.00
20240419,00636K,8,1,44500,71.65
20240419,00636K,9,0,0,0.00
20240419,00636K,10,0,0,0.00
20240419,00636K,11,0,0,0.00
20240419,00636K,12,0,0,0.00
20240419,00636K,13,0,0,0.00
20240419,00636K,14,0,0,0.00
20240419,00636K,15,0,0,0.00
20240419,00636K,16,0,0,0.00
20240419,00636K,17,10,62100,100.00
20240419,00637L,1,568,127470,0.00
20240419,00637L,2,8505,23494862,1.21
20240419,00637L,3,4434,37214677,1.93
20240419,00637L,4,2063,27259063,1.41
20240419,00637L,5,1924,36101147,1.87
20240419,00637L,6,2098,55228722,2.86
20240419,00637L,7,1280,46706897,2.42
20240419,00637L,8,965,45401656,2.35
20240419,00637L,9,2392,176460722,9.15
20240419,00637L,10,1429,208113512,10.79
20240419,00637L,11,744,214193599,11.10
20240419,00637L,12,230,112843000,5.85
20240419,00637L,13,117,82257700,4.26
20240419,00637L,14,84,75652000,3.92
20240419,00637L,15,205,787050973,40.81
20240419,00637L,16,0,0,0.00
20240419,00637L,17,27038,1928106000,100.00
20240419,00638R,1,36,4074,0.01
20240419,00638R,2,273,695777,2.53
20240419,00638R,3,98,830482,3.02
20240419,00638R,4,42,569572,2.07
20240419,00638R,5,31,591000,2.15
20240419,00638R,6,35,922500,3.36
20240419,00638R,7,19,720000,2.62
20240419,00638R,8,15,690000,2.51
20240419,00638R,9,28,2148648,7.82
20240419,00638R,10,13,2059000,7.50
20240419,00638R,11,6,1487000,5.41
20240419,00638R,12,6,3028000,11.03
20240419,00638R,13,0,0,0.00
20240419,00638R,14,2,1859000,6.77
20240419,00638R,15,5,11842947,43.14
20240419,00638R,16,0,0,0.00
20240419,00638R,17,609,27448000,100.00
20240419,00639,1,1112,398964,0.28
20240419,00639,2,3177,7971044,5.67
20240419,00639,3,1358,10798369,7.69
20240419,00639,4,531,6732575,4.79
20240419,00639,5,428,7888290,5.61
20240419,00639,6,406,10462322,7.45
20240419,00639,7,212,7561143,5.38
20240419,00639,8,144,6657489,4.74
20240419,00639,9,237,17221582,12.26
20240419,00639,10,100,14229179,10.13
20240419,00639,11,38,10754700,7.65
20240419,00639,12,9,4451376,3.17
20240419,00639,13,2,1307000,0.93
20240419,00639,14,3,2648000,1.88
20240419,00639,15,13,31320967,22.30
20240419,00639,16,0,0,0.00
20240419,00639,17,7770,140403000,100.00
20240419,00640L,1,514,101151,0.46
20240419,00640L,2,1095,2426594,11.07
20240419,00640L,3,198,1590460,7.25
20240419,00640L,4,90,1179057,5.37
20240419,00640L,5,55,1015502,4.63
20240419,00640L,6,52,1322772,6.03
20240419,00640L,7,20,724000,3.30
20240419,00640L,8,11,503800,2.29
20240419,00640L,9,23,1613000,7.35
20240419,00640L,10,12,1504000,6.86
20240419,00640L,11,12,3740180,17.06
20240419,00640L,12,0,0,0.00
20240419,00640L,13,2,1397000,6.37
20240419,00640L,14,1,973000,4.43
20240419,00640L,15,1,3828484,17.46
20240419,00640L,16,0,0,0.00
20240419,00640L,17,2086,21919000,100.00
20240419,00641R,1,50,11328,0.02
20240419,00641R,2,510,1326249,2.89
20240419,00641R,3,232,1978802,4.32
20240419,00641R,4,105,1375586,3.00
20240419,00641R,5,103,1923320,4.20
20240419,00641R,6,90,2424050,5.29
20240419,00641R,7,64,2339310,5.11
20240419,00641R,8,33,1527000,3.33
20240419,00641R,9,103,7541632,16.48
20240419,00641R,10,55,7685000,16.79
20240419,00641R,11,15,3716000,8.12
20240419,00641R,12,5,2445332,5.34
20240419,00641R,13,3,1973000,4.31
20240419,00641R,14,2,1796000,3.92
20240419,00641R,15,2,7695391,16.81
20240419,00641R,16,0,0,0.00
20240419,00641R,17,1372,45758000,100.00
20240419,00642U,1,1133,219967,0.17
20240419,00642U,2,7551,16906462,13.43
20240419,00642U,3,1537,12582189,10.00
20240419,00642U,4,439,5793942,4.60
20240419,00642U,5,361,6816654,5.41
20240419,00642U,6,274,7276169,5.78
20240419,00642U,7,135,4884667,3.88
20240419,00642U,8,101,4778017,3.79
20240419,00642U,9,134,9558609,7.59
20240419,00642U,10,54,7420000,5.89
20240419,00642U,11,34,9670000,7.68
